time_ms	kiln_C	control_ms
18787474	213.78	250
18793475	213.78	400
18798476	213.9731	400
18803477	213.9968	400
18808478	213.7768	400
18813479	214	400
18818480	213.9704	400
18823481	214	400
18828482	213.7801	400
18833483	214	400
18838484	214	400
18843485	214	400
18848489	214	400
18853490	214	400
18858491	214	400
18863492	214	400
18868493	214	400
18873494	214	400
18878495	214.2468	400
18883496	214.25	400
18888497	214.2496	400
18893498	214.25	400
18898499	214.25	400
18903500	213.5901	400
18908501	214.47	400
18913502	214.5	400
18918503	214.5	400
18923504	214.5	400
18928505	214.5	400
18933506	214.7204	400
18938507	214.7236	400
18943508	214.75	400
18948509	214.75	400
18953510	214.75	400
18958511	214.75	400
18963512	214.9704	400
18968513	215	400
18973514	215	400
18978515	215	400
18983516	215.0269	400
18988517	215.25	400
18993518	215.2532	400
18998519	215.25	400
19003520	215.5	400
19008521	215.2801	400
19013522	215.5	400
19018523	215.5264	400
19023524	215.7469	400
19028525	215.75	400
19033526	215.75	400
19038527	215.9964	400
19043528	215.9968	400
19048529	216	400
19053530	216.0268	400
19058531	216.25	400
19063532	216.25	400
19068533	216.4699	400
19073534	216.5	400
19078535	216.5	400
19083536	216.5004	400
19088537	216.7464	400
19093538	216.75	400
19098539	216.9699	400
19103540	217	400
19108541	217	400
19113542	216.5605	400
19118543	217.2235	400
19123544	217.25	400
19128545	217.4703	400
19133546	217.4968	400
19138547	217.5	400
19143548	217.5036	400
19148549	217.75	400
19153550	217.75	400
19158551	217.9967	400
19163552	218	400
19168553	218	400
19173554	218.25	400
19178555	218.2468	400
19183556	218.2761	400
19188557	218.5	400
19193558	218.5	400
19198559	218.53	400
19203560	218.75	400
19208561	218.7532	400
19213562	218.9968	400
19218563	219	400
19223564	219.2468	400
19228565	219.25	400
19233566	219.0301	400
19238567	219.4999	400
19243568	219.5	400
19248569	219.7464	400
19253570	219.75	400
19258571	219.75	400
19263572	219.9999	400
19268573	219.9736	400
19273574	220.2434	400
19278575	220.2235	400
19283576	220.2532	400
19288577	220.25	400
19293578	220.5	400
19298579	220.5	400
19303580	220.6971	400
19308581	220.75	400
19313582	220.9203	400
19318583	221	400
19323584	221	400
19328585	221.25	400
19333586	221.25	400
19338587	221.4999	400
19343588	221.5	400
19348592	221.5	400
19353593	221.75	400
19358594	221.75	400
19363595	222	400
19368596	222	400
19373597	222.2236	400
19378598	222.25	400
19383599	222.25	400
19388600	222.4709	400
19393601	222.4936	400
19398602	222.7496	400
19403603	222.7204	400
19408604	222.75	400
19413605	222.9703	400
19418606	223	400
19423607	223.0004	400
19428608	223.2499	400
19433609	223.25	400
19438610	223.5	400
19443611	223.5	400
19448612	223.7464	400
19453613	223.75	400
19458614	223.7796	400
19463615	224	400
19468616	224	400
19473617	224.2464	400
19478618	224.25	400
19483619	224.4732	400
19488620	224.5	400
19493621	224.5265	400
19498622	224.75	400
19503623	224.75	400
19508624	225	400
19513625	225	400
19518626	225.0301	400
19523627	225.25	400
19528628	225.1442	400
19533629	225.5	400
19538630	225.5	400
19543631	225.75	400
19548632	225.75	400
19553633	225.75	400
19558634	226	400
19563635	226	400
19568636	226.03	400
19573637	226.25	400
19578638	226.5	400
19583639	226.5	400
19588640	226.5	400
19593641	226.75	400
19598642	226.9699	400
19603643	226.7764	400
19608644	227	400
19613645	227	400
19618646	227.25	400
19623647	227.4732	400
19628648	227.4735	400
19633649	227.5264	400
19638650	227.5268	400
19643651	227.75	400
19648652	227.75	400
19653653	228	400
19658654	228	400
19663655	228.25	400
19668656	228.2501	400
19673657	228.0569	400
19678658	228.5	400
19683659	228.7205	400
19688660	228.75	400
19693661	228.75	400
19698662	229	400
19703663	229	400
19708664	229.2499	400
19713665	229.25	400
19718666	229.25	400
19723667	229.4968	400
19728668	229.5	400
19733669	229.5297	400
19738670	229.7468	400
19743671	229.75	400
19748672	229.9996	400
19753673	230	400
19758674	230.0297	400
19763675	230.25	400
19768676	230.25	400
19773677	230.4736	400
19778678	230.5	400
19783679	230.5032	400
19788680	230.75	400
19793681	230.97	400
19798682	231	400
19803683	231.0032	400
19808684	231	400
19813685	231.25	400
19818686	231.4731	400
19823687	231.5	400
19828688	231.5	400
19833689	231.7496	400
19838690	231.75	400
19843691	231.9996	400
19848695	232	400
19853696	232	400
19858697	232.25	400
19863698	232.25	400
19868699	232.25	400
19873700	232.2536	400
19878701	232.5	400
19883702	232.5	400
19888703	232.7499	400
19893704	232.75	400
19898705	232.9996	400
19903706	233	400
19908707	233	400
19913708	233.25	400
19918709	233.25	400
19923710	233.4735	400
19928711	233.5	400
19933712	233.5264	400
19938713	233.75	400
19943714	233.9964	400
19948715	234	400
19953716	234	400
19958717	234.2203	400
19963718	234.224	400
19968719	234.25	400
19973720	234.2769	400
19978721	234.5	400
19983722	234.5036	400
19988723	234.75	400
19993724	234.7796	400
19998725	234.9996	400
20003726	235	400
20008727	235.0264	400
20013728	235.25	400
20018729	235.25	400
20023730	235.5	400
20028731	235.5	400
20033732	235.7199	400
20038733	235.75	400
20043734	235.75	400
20048735	235.9736	400
20053736	236	400
20058737	236	400
20063738	236	400
20068739	236.2764	400
20073740	236.2504	400
20078741	236.4732	400
20083742	236.5	400
20088743	236.7496	400
20093744	236.75	400
20098745	236.9699	400
20103746	236.9999	400
20108747	236.78	400
20113748	237	400
20118749	237.25	400
20123750	237.25	400
20128751	237.2503	400
20133752	237.4704	400
20138753	237.7199	400
20143754	237.5264	400
20148755	237.75	400
20153756	237.9731	400
20158757	238	400
20163758	238	400
20168759	238.0296	400
20173760	238.25	400
20178761	238.25	400
20183762	238.4736	400
20188763	238.4736	400
20193764	238.5	400
20198765	238.5036	400
20203766	238.75	400
20208767	238.7504	400
20213768	239	400
20218769	239	400
20223770	239	400
20228771	239.25	400
20233772	239.25	400
20238773	239.4703	400
20243774	239.4736	400
20248775	239.5	400
20253776	239.7236	400
20258777	239.75	400
20263778	239.75	400
20268779	239.9731	400
20273780	240	400
20278781	240	400
20283782	240.2468	400
20288783	240.25	400
20293784	240.2531	400
20298785	240.4968	400
20303786	240.5	400
20308787	240.7499	400
20313788	240.7499	400
20318789	240.9699	400
20323790	240.7764	400
20328791	241	400
20333792	241	400
20338793	241.2496	400
20343794	241.25	400
20348798	241.25	400
20353799	241.5	400
20358800	241.5	400
20363801	241.5	400
20368802	241.7496	400
20373803	241.75	400
20378804	241.75	400
20383805	241.9735	400
20388806	241.7769	400
20393807	242	400
20398808	241.9999	400
20403809	242.2496	400
20408810	242.25	400
20413811	242.4699	400
20418812	242.28	400
20423813	242.5	400
20428814	242.75	400
20433815	242.75	400
20438816	242.75	400
20443817	242.78	400
20448818	243	400
20453819	243.0264	400
20458820	243.25	400
20463821	243.25	400
20468822	243.4699	400
20473823	243.5	400
20478824	243.5	400
20483825	243.5	400
20488826	243.75	400
20493827	243.75	400
20498828	243.75	400
20503829	243.9736	400
20508830	244	400
20513831	243.974	400
20518832	244.25	400
20523833	244.25	400
20528834	244.5	400
20533835	244.5	400
20538836	244.5	400
20543837	244.7209	400
20548838	244.75	400
20553839	244.75	400
20558840	244.9705	400
20563841	245	400
20568842	245	400
20573843	245.2465	400
20578844	245.2236	400
20583845	245.25	400
20588846	245.2761	400
20593847	245.4964	400
20598848	245.5	400
20603849	245.7496	400
20608850	245.75	400
20613851	245.75	400
20618852	245.7765	400
20623853	246	400
20628854	246	400
20633855	246.0269	400
20638856	246.0295	400
20643857	246.25	400
20648858	246.25	400
20653859	246.5	400
20658860	246.5	400
20663861	246.5	400
20668862	246.5036	400
20673863	246.75	400
20678864	246.75	400
20683865	246.7797	400
20688866	247	400
20693867	247.0264	400
20698868	247.0296	400
20703869	247.25	400
20708870	247.4704	400
20713871	247.4996	400
20718872	247.5	400
20723873	247.5	400
20728874	247.7231	400
20733875	247.75	400
20738876	247.75	400
20743877	247.9996	400
20748878	247.9968	400
20753879	248	400
20758880	248	400
20763881	248.25	400
20768882	248.25	400
20773883	248.25	400
20778884	248.5	400
20783886	248.5	400
20788887	248.5	400
20793888	248.5004	400
20798889	248.75	400
20803890	248.75	400
20808891	249	400
20813892	249	400
20818893	249	400
20823894	249	400
20828895	249.0264	400
20833896	249.25	400
20838897	249.2235	400
20843898	249.2769	400
20848902	249.4968	400
20853903	249.5	400
20858904	249.5	400
20863905	249.7231	400
20868906	249.75	400
20873907	249.75	400
20878908	249.7536	400
20883909	249.9999	400
20888910	250	400
20893911	250.026	400
20898912	250.25	400
20903913	250.25	400
20908914	250.4964	400
20913915	250.5	400
20918916	250.5	400
20923917	250.7469	400
20928918	250.75	400
20933919	250.75	400
20938920	250.75	400
20943921	251	400
20948922	250.7801	400
20953923	251	400
20958924	251.0032	400
20963925	251.2496	400
20968926	251.25	400
20973927	251.0301	400
20978928	251.5	400
20983929	251.4996	400
20988930	251.5	400
20993931	251.5	400
20998932	251.7496	400
21003933	251.75	400
21008934	251.75	400
21013935	251.7795	400
21018936	252	400
21023937	252	400
21028938	252	400
21033939	252.2496	400
21038940	252.25	400
21043941	252.2797	400
21048942	252.5	400
21053943	252.5	400
21058944	252.5	400
21063945	252.7464	400
21068946	252.75	400
21073947	252.75	400
21078948	252.75	400
21083949	252.9735	400
21088950	253	400
21093951	253	400
21098952	253	400
21103953	253.0036	400
21108954	253.2496	400
21113955	253.25	400
21118956	253.4699	400
21123957	253.5	400
21128958	253.5	400
21133959	253.7464	400
21138960	253.75	400
21143961	253.75	400
21148962	253.7501	400
21153963	253.75	400
21158964	253.7535	400
21163965	254	400
21168966	254.0264	400
21173967	254	400
21178968	254.0296	400
21183969	254.03	400
21188970	254.4699	400
21193971	254.28	400
21198972	254.5	400
21203973	254.75	400
21208974	254.7496	400
21213975	254.75	400
21218976	254.75	400
21223977	254.75	400
21228978	254.7796	400
21233979	255	400
21238980	255	400
21243981	255.2199	400
21248982	255.2236	400
21253983	255.25	400
21258984	255.25	400
21263985	255.4736	400
21268986	255.5	400
21273987	255.5	400
21278988	255.5	400
21283989	255.53	400
21288990	255.7235	400
21293991	255.75	400
21298992	255.75	400
21303993	255.7531	400
21308994	255.7764	400
21313995	256	400
21318996	256	400
21323997	256.2464	400
21328998	256.2468	400
21333999	256.25	400
21339000	256.25	400
21344001	256.2768	400
21349005	256.5	400
21354006	256.5	400
21359007	256.7205	400
21364008	256.5	400
21369009	256.75	400
21374010	256.75	400
21379011	256.75	400
21384012	256.7535	400
21389013	256.7801	400
21394014	257	400
21399015	257	400
21404016	257.2468	400
21409017	257.0268	400
21414018	257.25	400
21419019	257.25	400
21424020	257.25	400
21429021	257.2796	400
21434022	257.4996	400
21439023	257.5	400
21444024	257.5268	400
21449025	257.7499	400
21454026	257.75	400
21459027	257.75	400
21464028	257.7764	400
21469029	257.9996	400
21474030	257.9968	400
21479031	258	400
21484032	258.0032	400
21489033	258.2496	400
21494034	258.25	400
21499035	258.25	400
21504036	258.25	400
21509037	258.03	400
21514038	258.5	400
21519039	258.5	400
21524040	258.5	400
21529041	258.5	400
21534042	258.5	400
21539043	258.75	400
21544044	258.75	400
21549045	258.75	400
21554046	258.7765	400
21559047	259	400
21564048	259	400
21569049	258.9968	400
21574050	259.0032	400
21579051	259.2499	400
21584052	259.25	400
21589053	259.25	400
21594054	259.4699	400
